Feature 1,Feature 2,Otolith type
-9.0723295,35.62625,Sprattus sprattus
9.052584,-29.047628,Clupea harengus
2.3687797,-27.105785,Clupea harengus
21.324732,0.42891577,Ammodytes tobianus
-27.098734,-13.5681095,Clupea harengus
-3.025329,-35.744072,Clupea harengus
-12.006166,22.384476,Sprattus sprattus
33.58415,-5.951695,Ammodytes tobianus
19.289442,-3.7484903,Ammodytes tobianus
-10.688037,38.507786,Sprattus sprattus
-4.898269,-24.433907,Clupea harengus
17.847599,7.117622,Ammodytes tobianus
-1.6091462,-33.661694,Clupea harengus
23.723175,0.19044183,Ammodytes tobianus
31.992039,-11.262943,Ammodytes tobianus
-4.670557,19.861559,Sprattus sprattus
-13.560745,-5.2466626,Clupea harengus
-8.28231,36.815254,Sprattus sprattus
-8.3150015,-37.14838,Clupea harengus
-33.116776,-17.92199,Clupea harengus
50.656067,11.162002,Ammodytes marinus
-10.732965,-5.3307614,Clupea harengus
-3.1932058,39.26501,Sprattus sprattus
50.058064,10.167476,Ammodytes marinus
-31.545454,-20.72481,Clupea harengus
24.592175,34.232624,Alosa fallax
-18.852695,-17.91248,Clupea harengus
2.7388582,29.610937,Sprattus sprattus
-6.520342,33.648476,Sprattus sprattus
0.30988234,34.888832,Sprattus sprattus
-24.915047,-21.370682,Clupea harengus
-3.228704,22.823088,Sprattus sprattus
-16.66362,16.200031,Sprattus sprattus
9.555606,-26.728817,Clupea harengus
20.941578,3.1000133,Ammodytes tobianus
-13.939791,31.984665,Sprattus sprattus
36.73657,-27.713657,Hyperoplus lanceolatus
-16.919237,-17.80858,Clupea harengus
46.13431,17.211863,Ammodytes marinus
5.877598,-25.854866,Clupea harengus
30.191734,-11.37958,Ammodytes tobianus
-5.0448155,-14.756823,Clupea harengus
16.55089,6.1640763,Ammodytes tobianus
-9.014062,24.810003,Sprattus sprattus
-10.182496,35.40426,Sprattus sprattus
-2.7565374,-37.385597,Clupea harengus
-0.9113494,-36.60054,Clupea harengus
22.540483,35.378704,Alosa fallax
22.679733,36.229652,Alosa fallax
-29.964684,-8.834313,Clupea harengus
4.487777,-27.620443,Clupea harengus
-3.461585,-31.592848,Clupea harengus
43.925594,17.019903,Ammodytes marinus
-13.95041,17.16659,Sprattus sprattus
-13.559863,32.24894,Sprattus sprattus
-19.309689,21.741417,Sprattus sprattus
19.184086,4.985635,Ammodytes tobianus
-7.3597,-35.38102,Clupea harengus
-15.428688,-23.669256,Clupea harengus
-4.9472156,39.31747,Sprattus sprattus
2.7743506,-25.835514,Clupea harengus
-0.033280823,15.845183,Sprattus sprattus
-2.1636384,27.524235,Sprattus sprattus
31.420158,-3.2559147,Ammodytes tobianus
-17.3709,34.01286,Sprattus sprattus
44.625233,16.43282,Ammodytes marinus
38.795918,-26.118095,Hyperoplus lanceolatus
-3.9705818,27.809618,Sprattus sprattus
-30.672712,-3.9387262,Clupea harengus
-27.336674,-12.418034,Clupea harengus
4.865027,-33.125473,Clupea harengus
-26.584827,-16.346344,Clupea harengus
-16.124617,17.376112,Sprattus sprattus
25.03399,0.32964492,Ammodytes tobianus
7.5016265,27.41761,Sprattus sprattus
0.24861111,35.71825,Sprattus sprattus
-18.780931,-18.967312,Clupea harengus
5.70884,-28.09541,Clupea harengus
5.652187,-27.662933,Clupea harengus
-16.10607,37.755978,Sprattus sprattus
-4.1462374,-36.733532,Clupea harengus
24.56079,-6.7228975,Ammodytes tobianus
-12.843807,-8.599558,Clupea harengus
45.81143,17.94183,Ammodytes marinus
31.18211,-11.591988,Ammodytes tobianus
44.886044,16.182434,Ammodytes marinus
-6.986655,34.93155,Sprattus sprattus
19.225521,1.3022339,Ammodytes tobianus
-15.3551855,-23.108488,Clupea harengus
-9.072178,35.626274,Sprattus sprattus
-10.0069685,17.489162,Sprattus sprattus
37.437653,-29.000359,Hyperoplus lanceolatus
-26.495058,-9.881473,Clupea harengus
3.27207,31.316872,Sprattus sprattus
